Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,548.909973,555.239990,538.580017,553.979980,553.979980,5155700
2016-03-22,545.109985,562.760010,545.049988,560.479980,560.479980,4000600
2016-03-23,561.000000,572.479980,558.099976,569.630005,569.630005,3983700
2016-03-24,567.109985,583.549988,567.080017,582.950012,582.950012,5185500
2016-03-28,584.400024,584.750000,575.559998,579.869995,579.869995,3121500
2016-03-29,580.150024,595.849976,576.500000,593.859985,593.859985,4167100
2016-03-30,596.710022,603.239990,595.000000,598.690002,598.690002,3890500
2016-03-31,599.280029,600.750000,592.210022,593.640015,593.640015,2681800
2016-04-01,590.489990,599.030029,588.299988,598.500000,598.500000,2917400
2016-04-04,599.000000,599.500000,590.549988,593.190002,593.190002,2470800
2016-04-05,590.770020,593.469971,585.250000,586.140015,586.140015,2308900
2016-04-06,587.520020,602.390015,587.500000,602.080017,602.080017,2833500
2016-04-07,598.760010,599.599976,589.080017,591.429993,591.429993,3189000
2016-04-08,594.320007,597.859985,589.000000,594.599976,594.599976,2591900
2016-04-11,596.140015,604.000000,594.909973,595.929993,595.929993,2704300
2016-04-12,598.400024,604.059998,592.309998,603.169983,603.169983,2636300
2016-04-13,607.679993,616.809998,605.289978,614.820007,614.820007,4228300
2016-04-14,615.070007,624.380005,615.070007,620.750000,620.750000,3474300
2016-04-15,621.919983,626.770020,618.109985,625.890015,625.890015,2887700
2016-04-18,625.349976,637.640015,624.960022,635.349976,635.349976,4336400
2016-04-19,637.140015,638.010010,620.799988,627.900024,627.900024,4055900
2016-04-20,630.000000,636.549988,623.000000,632.989990,632.989990,2609400
2016-04-21,631.000000,637.820007,628.500000,631.000000,631.000000,2596300
2016-04-22,624.469971,628.250000,611.559998,620.500000,620.500000,5083900
2016-04-25,616.609985,626.979980,616.250000,626.200012,626.200012,2682900
2016-04-26,626.169983,626.750000,614.880005,616.880005,616.880005,2521400
2016-04-27,611.799988,615.950012,601.280029,606.570007,606.570007,4068800
2016-04-28,615.539978,626.799988,599.200012,602.000000,602.000000,7872600
2016-04-29,666.000000,669.979980,654.000000,659.590027,659.590027,10310700
2016-05-02,663.919983,685.500000,662.030029,683.849976,683.849976,6578500
2016-05-03,677.359985,680.299988,670.429993,671.320007,671.320007,4923400
2016-05-04,662.590027,674.000000,662.140015,670.900024,670.900024,4574500
2016-05-05,673.309998,676.489990,656.000000,659.090027,659.090027,4884100
2016-05-06,656.049988,676.950012,656.010010,673.950012,673.950012,4365300
2016-05-09,673.950012,686.979980,671.409973,679.750000,679.750000,3982200
2016-05-10,694.000000,704.549988,693.500000,703.070007,703.070007,6087000
2016-05-11,705.789978,719.000000,701.650024,713.229980,713.229980,7338200
2016-05-12,717.380005,722.450012,711.510010,717.929993,717.929993,5048200
2016-05-13,714.640015,719.250000,706.510010,709.919983,709.919983,4763400
2016-05-16,710.130005,713.250000,700.280029,710.659973,710.659973,5432900
2016-05-17,709.900024,714.469971,693.909973,695.270020,695.270020,5121400
2016-05-18,689.559998,702.539978,688.760010,697.450012,697.450012,4283200
2016-05-19,691.880005,699.400024,689.559998,698.520020,698.520020,3025600
2016-05-20,701.049988,707.239990,700.000000,702.799988,702.799988,2916200
2016-05-23,704.250000,706.000000,696.419983,696.750000,696.750000,2579200
2016-05-24,698.010010,707.500000,698.000000,704.200012,704.200012,3033800
2016-05-25,708.000000,710.859985,705.520020,708.349976,708.349976,3267700
2016-05-26,708.330017,715.000000,707.289978,714.909973,714.909973,2436800
2016-05-27,715.000000,716.599976,711.099976,712.239990,712.239990,2249200
2016-05-31,712.330017,724.229980,711.320007,722.789978,722.789978,3618300
2016-06-01,720.900024,726.429993,718.219971,719.440002,719.440002,3263100
2016-06-02,720.969971,728.280029,715.500000,728.239990,728.239990,3020700
2016-06-03,726.739990,727.000000,718.429993,725.539978,725.539978,3367300
2016-06-06,726.500000,731.500000,724.419983,726.729980,726.729980,2704800
2016-06-07,729.890015,730.000000,720.549988,723.739990,723.739990,2732500
2016-06-08,726.400024,729.419983,721.599976,726.640015,726.640015,2223400
2016-06-09,723.099976,728.909973,722.299988,727.650024,727.650024,2170300
2016-06-10,722.349976,724.979980,714.210022,717.909973,717.909973,3425700
2016-06-13,714.010010,721.989990,711.159973,715.239990,715.239990,3352200
2016-06-14,712.330017,720.809998,712.270020,719.299988,719.299988,2506900
2016-06-15,722.000000,722.559998,713.349976,714.260010,714.260010,2709400
2016-06-16,712.049988,718.000000,705.299988,717.510010,717.510010,3098000
2016-06-17,718.190002,718.200012,699.179993,706.390015,706.390015,5897800
2016-06-20,713.500000,721.309998,710.809998,714.010010,714.010010,3677200
2016-06-21,715.719971,718.400024,712.719971,715.820007,715.820007,2137500
2016-06-22,716.580017,717.000000,707.570007,710.599976,710.599976,2260500
2016-06-23,715.500000,722.119995,712.500000,722.080017,722.080017,2825000
2016-06-24,693.000000,712.530029,692.200012,698.960022,698.960022,7632500
2016-06-27,692.010010,696.820007,682.119995,691.359985,691.359985,5568000
2016-06-28,700.000000,708.000000,698.169983,707.950012,707.950012,4037000
2016-06-29,715.750000,719.500000,713.539978,715.599976,715.599976,3070100
2016-06-30,717.200012,719.369995,712.539978,715.619995,715.619995,2855100
2016-07-01,717.320007,728.000000,716.539978,725.679993,725.679993,2920400
2016-07-05,722.799988,729.559998,719.609985,728.099976,728.099976,2431400
2016-07-06,725.710022,737.770020,722.580017,737.609985,737.609985,3938200
2016-07-07,739.330017,739.549988,731.630005,736.570007,736.570007,2936700
2016-07-08,740.140015,746.099976,738.000000,745.809998,745.809998,3429200
2016-07-11,750.000000,755.900024,747.000000,753.780029,753.780029,3195300
2016-07-12,756.859985,757.340027,740.330017,748.210022,748.210022,5623700
2016-07-13,746.760010,756.869995,741.250000,742.630005,742.630005,4142300
2016-07-14,748.859985,749.039978,739.020020,741.200012,741.200012,2390500
2016-07-15,746.549988,746.549988,734.049988,735.440002,735.440002,3121400
2016-07-18,735.489990,741.599976,728.719971,736.070007,736.070007,2954900
2016-07-19,732.500000,743.330017,732.309998,739.950012,739.950012,2216800
2016-07-20,744.000000,746.250000,740.700012,745.719971,745.719971,2214000
2016-07-21,747.500000,749.359985,742.789978,744.429993,744.429993,2317100
2016-07-22,747.789978,751.280029,743.530029,744.859985,744.859985,2277700
2016-07-25,746.549988,748.500000,735.349976,739.609985,739.609985,2679300
2016-07-26,742.710022,743.130005,732.750000,735.590027,735.590027,2529700
2016-07-27,737.969971,740.940002,733.859985,736.669983,736.669983,2831800
2016-07-28,745.979980,753.359985,739.700012,752.609985,752.609985,7617600
2016-07-29,765.000000,766.000000,755.000000,758.809998,758.809998,6777100
2016-08-01,759.869995,770.500000,757.059998,767.739990,767.739990,3578200
